,height,v,ori,start_x,ball_d,g,unit,s_expect,pix_w,pix_h,scale,h0,id,rt,s,points,name,sex,age,exp_num,distance,est,g_inv,date
0,0.4,1.0,left,2.0,0.05715,9.8,m,0.2857142857142857,3200,1800,800.0,-600.0,0,3.38864009999088,-0.42375,0.8619642857142857,tty,male,21,1,50,0.42375,4.455234465415372,20/10/18
1,0.8,2.4,right,1.7,0.05715,9.8,m,0.9697464427701222,3200,1800,800.0,-600.0,1,5.511951199994655,1.0825,0.8872464427701222,tty,male,21,1,50,1.0825,7.8647814005088295,20/10/18
2,0.4,1.0,left,1.7,0.05715,9.8,m,0.2857142857142857,3200,1800,800.0,-600.0,2,2.2133942999935243,-0.34,0.9457142857142857,tty,male,21,1,50,0.34,6.920415224913494,20/10/18
3,0.8,1.7,right,2.0,0.05715,9.8,m,0.6869037302955032,3200,1800,800.0,-600.0,3,4.82973560001119,0.9325,0.7544037302955032,tty,male,21,1,50,0.9325,5.317654838315519,20/10/18
4,0.4,2.4,right,2.0,0.05715,9.8,m,0.6857142857142856,3200,1800,800.0,-600.0,4,3.129842299997108,0.50125,0.8155357142857144,tty,male,21,1,50,0.50125,18.34018445158923,20/10/18
5,1.2,2.4,right,1.7,0.05715,9.8,m,1.1876919823329442,3200,1800,800.0,-600.0,5,8.645078100002138,1.58,0.6076919823329441,tty,male,21,1,50,1.58,5.537574106713667,20/10/18
6,0.4,2.4,right,1.7,0.05715,9.8,m,0.6857142857142856,3200,1800,800.0,-600.0,6,6.55648790000123,0.50125,0.8155357142857144,tty,male,21,1,50,0.50125,18.34018445158923,20/10/18
7,0.4,1.7,left,2.0,0.05715,9.8,m,0.48571428571428565,3200,1800,800.0,-600.0,7,3.334900200017728,-0.37625,0.8905357142857143,tty,male,21,1,50,0.37625,16.33182856701361,20/10/18
8,1.6,1.7,right,1.7,0.05715,9.8,m,0.9714285714285713,3200,1800,800.0,-600.0,8,7.0159115999995265,0.94875,0.9773214285714287,tty,male,21,1,50,0.94875,10.274110758730108,20/10/18
9,0.4,2.4,right,2.0,0.05715,9.8,m,0.6857142857142856,3200,1800,800.0,-600.0,9,4.805635699973209,0.545,0.8592857142857144,tty,male,21,1,50,0.545,15.513845635889231,20/10/18
